manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing
Elara India,GITANJALI GEMS LTD.,INE346H01014,2017-06-30,2340000,1.97,2017-07-19,Threshold Routine
Elara India,GITANJALI GEMS LTD.,INE346H01014,2017-03-31,2340000,1.97,2017-04-14,Threshold Routine
Elara India,GITANJALI GEMS LTD.,INE346H01014,2016-12-31,2340000,1.97,2017-01-17,Threshold Routine
Elara India,GITANJALI GEMS LTD.,INE346H01014,2016-06-30,2340000,2.15,2016-07-08,Threshold Routine
Elara India,JSW Holdings Limited,INE824G01012,2019-12-31,423650,3.82,2020-01-09,Threshold Routine
Elara India,JSW Holdings Limited,INE824G01012,2019-09-30,423650,3.82,2019-10-15,Threshold Routine
Elara India,JSW Holdings Limited,INE824G01012,2019-06-30,423650,3.82,2019-07-20,Threshold Routine
Elara India,JSW Holdings Limited,INE824G01012,2019-03-31,423650,3.82,2019-04-15,Threshold Routine
Elara India,JSW Holdings Limited,INE824G01012,2018-12-31,423650,3.82,2019-01-17,Threshold Routine
Elara India,JSW Holdings Limited,INE824G01012,2018-09-30,369600,3.33,2018-10-10,Threshold Routine
Elara India,JSW Holdings Limited,INE824G01012,2018-06-30,261350,2.35,2018-07-17,Threshold Routine
Elara India,JSW Holdings Limited,INE824G01012,2018-03-31,223050,2.01,2018-07-17,Threshold Routine
Elara India,Usha Martin Education & Solutions Limited,INE240C01028,2019-09-30,1277291,4.93,2019-10-17,Threshold Routine
Elara India,Usha Martin Education & Solutions Limited,INE240C01028,2019-03-31,1277291,4.93,2019-05-15,Threshold Routine
Elara India,USHER AGRO LTD.,INE235G01011,2015-12-31,2590312,6.81,2016-02-07,Threshold Routine
Elara India,Excel Realty N Infra Ltd,INE688J01015,2019-12-31,1260000,1.34,2020-01-14,Threshold Routine
Elara India,USHER AGRO LTD.,INE235G01011,2016-06-30,2590312,6.81,2016-07-15,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2016-06-30,4652538,2.54,2016-07-19,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2016-09-30,1846067,7.78,2016-10-19,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2016-06-30,1846067,7.78,2016-07-19,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2019-12-31,6141512,3.36,2020-01-16,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2019-06-30,6141512,3.36,2019-07-22,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2019-03-31,6391512,3.49,2019-04-20,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2018-12-31,6391512,3.49,2019-01-21,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2018-09-30,6391512,3.49,2018-10-17,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2018-06-30,6472512,3.54,2019-01-28,Threshold Routine
Elara India,OMAXE LTD.,INE800H01010,2018-03-31,6419512,3.51,2018-04-19,Threshold Routine
