manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing,Close,MKTValue,PriceReturn,beta,TotalMktValue,PWeight,SecReturn,WeightedBeta
Amansa,Cyient Limited,INE136B01020,2019-12-31,7435341,6.76,2020-01-20,Threshold Routine,410.3,3050720412.3,-0.11829805522724868,0.3815,92145258393.49998,3.3108,-0.003917,0.012631
Amansa,Cyient Limited,INE136B01020,2017-12-31,7235341,6.43,2018-01-12,Threshold Routine,583.25,4220012638.25,0.14172457668591565,0.3815,79206812371.65999,5.3278,0.007551,0.020326
Amansa,Cyient Limited,INE136B01020,2017-09-30,7235341,6.43,2017-10-16,Threshold Routine,510.85,3696173949.85,0.006204451447706427,0.3815,72769210336.73,5.0793,0.000315,0.019378
Amansa,Cyient Limited,INE136B01020,2017-03-31,4155404,3.69,2017-04-19,Threshold Routine,467.5,1942651370.0,-0.07407407407407407,0.3815,68536688477.80001,2.8345,-0.0021,0.010814
Amansa,Cyient Limited,INE136B01020,2017-06-30,4155404,3.69,2017-07-18,Threshold Routine,507.7,2109698610.8,0.0859893048128344,0.3815,66574598226.750015,3.1689,0.002725,0.012089
Amansa,Cyient Limited,INE136B01020,2016-09-30,4155404,3.69,2016-10-15,Threshold Routine,470.6,1955533122.4,-0.039787798408488007,0.3815,54540550070.11,3.5855,-0.001427,0.013679
Amansa,Cyient Limited,INE136B01020,2016-12-31,4155404,3.69,2017-01-09,Threshold Routine,504.9,2098063479.6,0.07288567785805355,0.3815,57086029330.9,3.6753,0.002679,0.014021
Amansa,Cyient Limited,INE136B01020,2016-06-30,4155404,3.69,2016-07-20,Threshold Routine,490.1,2036563500.4,0.1485821420201554,0.3815,41975862162.92998,4.8517,0.007209,0.018509
Amansa,Cyient Limited,INE136B01020,2015-12-31,4155404,3.69,2016-01-27,Threshold Routine,479.75,1993555069.0,0.0,0.3815,24580360044.870003,8.1104,0.0,0.030941
Amansa,TATA COMMUNICATIONS LTD.,INE151A01013,2018-12-31,5268224,1.85,2019-01-10,Threshold Routine,319.4,1682670745.6,0.047556575926532396,0.8268,73182507867.82,2.2993,0.001093,0.019011
Amansa,TATA COMMUNICATIONS LTD.,INE151A01013,2019-03-31,5268224,1.85,2019-04-11,Threshold Routine,373.28,1966522654.72,0.1686912961803375,0.8268,92728415703.11998,2.1207,0.003577,0.017534
Amansa,TATA COMMUNICATIONS LTD.,INE151A01013,2019-06-30,5388050,1.89,2019-07-19,Threshold Routine,295.42,1591737731.0,-0.20858336905272135,0.8268,89615047309.0,1.7762,-0.003705,0.014686
